,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Mataura,NZ,-46.19,168.86,55.11,65,99,10.65,overcast clouds
1,Hermanus,ZA,-34.42,19.23,39.99,92,85,3.18,light rain
2,Coruripe,BR,-10.13,-36.18,74.95,81,74,12.77,broken clouds
3,Chokurdakh,RU,70.63,147.92,41.32,85,100,4.68,overcast clouds
4,Khislavichi,RU,54.19,32.16,62.15,75,90,13.42,overcast clouds
5,Katsuura,JP,35.13,140.3,86.0,84,40,9.17,scattered clouds
6,Punta Arenas,CL,-53.15,-70.92,39.2,86,40,29.97,scattered clouds
7,Husavik,IS,66.04,-17.34,46.4,87,75,10.29,broken clouds
8,Necochea,AR,-38.55,-58.74,43.0,61,0,5.01,clear sky
9,Andros Town,BS,24.7,-77.77,86.0,66,20,10.29,few clouds
10,Butaritari,KI,3.07,172.79,83.48,70,50,10.51,scattered clouds
11,Havelock,US,34.88,-76.9,84.0,86,45,10.78,moderate rain
12,Ushuaia,AR,-54.8,-68.3,33.8,95,90,23.04,light snow
13,Krasnoselkup,RU,65.7,82.47,54.18,91,100,7.36,overcast clouds
14,Tapes,BR,-30.67,-51.4,69.6,90,36,5.64,moderate rain
15,Chadan,RU,51.28,91.58,48.43,80,73,2.04,broken clouds
16,Te Karaka,NZ,-38.47,177.87,62.92,53,4,6.2,clear sky
17,Rikitea,PF,-23.12,-134.97,70.27,68,46,7.05,scattered clouds
18,Hilo,US,19.73,-155.09,87.8,52,40,10.29,scattered clouds
19,Inhambane,MZ,-23.86,35.38,74.19,82,0,16.11,clear sky
20,Nhulunbuy,AU,-12.23,136.77,78.8,69,40,16.11,scattered clouds
21,Sosua,DO,19.77,-70.52,86.0,79,20,11.41,few clouds
22,Moanda,GA,-1.56,13.22,71.08,93,100,3.96,overcast clouds
23,Ancud,CL,-41.87,-73.82,45.0,80,30,8.21,scattered clouds
24,Agadez,NE,19.75,10.25,90.79,37,6,5.44,clear sky
25,Dikson,RU,73.51,80.55,42.12,97,100,19.66,overcast clouds
26,Carnarvon,AU,-24.87,113.63,53.6,66,0,9.17,clear sky
27,Yellowknife,CA,62.46,-114.35,48.2,93,90,18.34,light rain
28,Saint-Philippe,RE,-21.36,55.77,68.0,82,20,8.05,few clouds
29,Macusani,PE,-14.08,-70.43,41.72,70,24,6.76,few clouds
30,San Cristobal,VE,7.77,-72.22,87.8,55,40,8.05,scattered clouds
31,Avarua,CK,-21.21,-159.78,77.0,73,14,17.22,few clouds
32,Busselton,AU,-33.65,115.33,43.0,77,89,7.14,overcast clouds
33,Kargil,IN,34.57,76.1,52.43,55,5,5.53,clear sky
34,Port Alfred,ZA,-33.59,26.89,51.01,68,34,19.73,light rain
35,Sechura,PE,-5.56,-80.82,67.35,68,2,18.84,clear sky
36,Komsomolskiy,UZ,40.43,71.72,69.8,56,28,6.93,scattered clouds
37,Edd,ER,13.93,41.69,90.97,56,38,4.18,scattered clouds
38,Saint-Pierre,RE,-21.34,55.48,68.0,82,20,8.05,few clouds
39,Cidreira,BR,-30.18,-50.21,66.69,81,49,8.77,scattered clouds
40,Karratha,AU,-20.74,116.85,75.11,32,0,11.68,clear sky
41,Peleduy,RU,59.63,112.74,55.09,89,100,2.35,overcast clouds
42,Buala,SB,-8.14,159.59,84.54,72,81,8.14,broken clouds
43,Ambon,ID,-3.7,128.18,75.2,94,40,3.36,light rain
44,Alice Springs,AU,-23.7,133.88,75.0,24,0,8.5,clear sky
45,Nuevo Progreso,MX,23.17,-97.95,90.0,59,87,7.0,overcast clouds
46,Paamiut,GL,61.99,-49.67,45.5,86,59,11.77,broken clouds
47,Bathsheba,BB,13.22,-59.52,80.6,83,40,13.87,scattered clouds
48,Kudahuvadhoo,MV,2.67,72.89,83.07,67,91,4.32,overcast clouds
49,Isangel,VU,-19.55,169.27,73.4,88,75,13.87,broken clouds
50,Dubbo,AU,-32.25,148.62,53.6,71,0,3.36,clear sky
51,Cape Town,ZA,-33.93,18.42,46.0,93,20,2.24,moderate rain
52,Trincomalee,LK,8.57,81.23,80.78,78,100,17.74,overcast clouds
53,Kalmunai,LK,7.42,81.82,79.59,78,86,3.74,overcast clouds
54,Port-Cartier,CA,50.03,-66.87,54.0,71,90,3.36,overcast clouds
55,Churapcha,RU,62.0,132.43,58.14,38,100,13.18,overcast clouds
56,Vikravandi,IN,12.03,79.55,80.78,74,94,6.04,overcast clouds
57,San Blas,MX,21.52,-105.27,77.0,83,75,9.91,broken clouds
58,Zhezkazgan,KZ,47.8,67.71,65.1,43,0,9.22,clear sky
59,Ribeira Grande,PT,38.52,-28.7,75.09,93,100,6.51,overcast clouds
60,Srandakan,ID,-7.94,110.25,72.19,84,87,6.58,overcast clouds
61,Kapaa,US,22.08,-159.32,86.0,78,90,9.17,light rain
62,Kavaratti,IN,10.57,72.64,81.46,79,99,14.38,moderate rain
63,Desnogorsk,RU,54.15,33.28,59.72,83,82,10.22,broken clouds
64,Nelson Bay,AU,-32.72,152.15,54.0,76,0,6.93,clear sky
65,Cabo San Lucas,MX,22.89,-109.91,82.99,88,90,11.41,overcast clouds
66,Tilbury,GB,51.46,0.36,55.0,88,99,11.01,overcast clouds
67,Gojo,JP,34.35,135.7,90.0,88,75,3.36,broken clouds
68,New Norfolk,AU,-42.78,147.06,62.01,42,70,4.0,broken clouds
69,Topolobampo,MX,25.6,-109.05,91.99,78,90,11.41,overcast clouds
70,Gizo,SB,-8.1,156.84,83.41,77,11,10.49,few clouds
71,Greencastle,US,39.64,-86.86,77.0,61,1,11.41,clear sky
72,Mar Del Plata,AR,-38.0,-57.56,44.6,52,40,9.17,scattered clouds
73,Albany,US,42.6,-73.97,79.0,88,64,8.5,light rain
74,Ixtapa,MX,20.7,-105.2,86.0,70,75,10.29,broken clouds
75,Georgetown,MY,5.41,100.34,77.0,94,40,3.36,scattered clouds
76,Jiuquan,CN,39.74,98.52,55.44,52,1,4.07,clear sky
77,Maracacume,BR,-2.04,-45.96,77.14,78,63,5.01,broken clouds
78,Lebu,CL,-37.62,-73.65,46.11,70,1,16.35,clear sky
79,Quang Ngai,VN,15.12,108.8,76.87,84,7,3.65,clear sky
80,Lompoc,US,34.64,-120.46,70.0,64,1,13.87,clear sky
81,Hithadhoo,MV,-0.6,73.08,82.63,73,96,9.82,overcast clouds
82,Meulaboh,ID,4.14,96.13,76.03,90,99,4.65,light rain
83,East London,ZA,-33.02,27.91,54.27,58,77,18.66,broken clouds
84,Chake Chake,TZ,-5.25,39.77,72.28,85,16,6.58,few clouds
85,Nampula,MZ,-15.12,39.27,68.0,88,41,10.29,scattered clouds
86,Arraial Do Cabo,BR,-22.97,-42.03,73.4,73,0,17.22,clear sky
87,Khairpur,PK,27.53,68.76,90.37,52,13,4.05,few clouds
88,Bealanana,MG,-14.55,48.73,57.18,85,80,5.01,broken clouds
89,Faya,SA,18.39,42.45,69.8,60,16,2.21,few clouds
90,Jamestown,US,42.1,-79.24,66.99,77,90,16.11,overcast clouds
91,Skegness,GB,53.14,0.34,57.0,87,90,13.87,overcast clouds
92,Castro,BR,-24.79,-50.01,62.31,77,0,4.36,clear sky
93,Leh,IN,34.17,77.58,55.38,40,0,5.68,clear sky
94,Mount Gambier,AU,-37.83,140.77,55.4,76,75,17.22,broken clouds
95,Sorata,BO,-15.77,-68.63,51.67,69,40,5.35,scattered clouds
96,Voh,NC,-20.97,164.7,74.89,50,73,10.27,broken clouds
97,Dingle,PH,11.0,122.67,78.71,84,100,3.89,overcast clouds
98,Tukrah,LY,32.53,20.58,76.3,73,0,11.54,clear sky
99,Ndioum,SN,16.51,-14.65,84.2,74,1,4.7,clear sky
100,Marathon,US,44.9,-89.77,71.6,43,40,16.11,scattered clouds
101,Pioner,RU,55.32,85.95,55.4,100,40,4.47,light intensity shower rain
102,Esperance,AU,-33.87,121.9,48.2,93,90,3.36,overcast clouds
103,Bredasdorp,ZA,-34.53,20.04,42.8,93,76,2.24,light rain
104,Bluff,NZ,-46.6,168.33,53.55,74,86,32.93,overcast clouds
105,Coquimbo,CL,-29.95,-71.34,57.2,71,88,13.87,overcast clouds
106,Heinola,FI,61.21,26.04,53.6,93,20,10.29,few clouds
107,Tyulgan,RU,52.34,56.17,64.44,69,100,14.54,light rain
108,Henties Bay,NA,-22.12,14.28,52.0,78,0,14.94,clear sky
109,Yamada,JP,39.47,141.95,74.01,92,100,6.2,light rain
110,Le Port,RE,-20.94,55.29,68.0,82,75,17.22,light intensity drizzle rain
111,Ponta Do Sol,PT,32.67,-17.1,71.6,64,40,18.34,scattered clouds
112,Portland,US,45.52,-122.68,79.0,36,40,6.93,scattered clouds
113,Sukhobezvodnoye,RU,57.05,44.89,51.28,98,29,5.97,scattered clouds
114,Jining,CN,35.41,116.58,82.99,1,0,2.01,clear sky
115,Hun,LY,29.13,15.95,80.53,40,0,12.64,clear sky
116,Noumea,NC,-22.28,166.46,69.8,52,90,17.22,overcast clouds
117,Vila Velha,BR,-20.33,-40.29,73.4,88,20,11.41,few clouds
118,Alofi,NU,-19.06,-169.92,80.6,69,38,18.34,scattered clouds
119,Severobaykalsk,RU,55.65,109.32,53.19,88,99,1.23,light rain
120,Caravelas,BR,-17.71,-39.25,72.28,88,0,5.08,clear sky
121,Barrow,US,71.29,-156.79,37.4,86,90,16.11,haze
122,Vaini,TO,-21.2,-175.2,80.6,74,20,13.87,few clouds
123,Namatanai,PG,-3.67,152.43,83.5,70,28,8.39,scattered clouds
124,Kikwit,CD,-5.04,18.82,77.83,69,43,1.81,light rain
125,Mareeba,AU,-17.0,145.43,71.01,79,94,5.01,overcast clouds
126,Prince Rupert,CA,54.32,-130.32,59.0,82,75,5.82,broken clouds
127,Fairbanks,US,64.84,-147.72,64.0,63,1,4.7,clear sky
128,Khanpur,PK,28.65,70.66,91.11,51,7,3.49,clear sky
129,Farah,AF,32.5,62.5,62.35,31,0,4.99,clear sky
130,Norman Wells,CA,65.28,-126.83,57.2,44,20,10.29,few clouds
131,Nikolskoye,RU,59.7,30.79,55.4,93,75,6.71,light intensity shower rain
132,Pevek,RU,69.7,170.31,38.84,82,100,0.78,overcast clouds
133,Saint George,US,37.1,-113.58,98.6,16,1,17.22,clear sky
134,Beterou,BJ,9.2,2.26,71.62,95,33,2.86,scattered clouds
135,Haines Junction,CA,60.75,-137.51,57.24,51,60,7.56,broken clouds
136,Kodiak,US,57.79,-152.41,53.6,93,90,27.51,light rain
137,Beian,NO,63.66,9.57,50.0,81,75,5.82,light intensity shower rain
138,Lokosovo,RU,61.13,74.82,52.5,96,83,5.14,broken clouds
139,Brasileia,BR,-11.02,-68.75,87.87,31,5,1.43,clear sky
140,Saldanha,ZA,-33.01,17.94,41.0,75,16,3.36,few clouds
141,Kontagora,NG,10.4,5.47,71.51,95,76,3.4,broken clouds
142,Mahebourg,MU,-20.41,57.7,69.8,77,75,14.99,broken clouds
143,Pacific Grove,US,36.62,-121.92,69.8,60,1,12.75,haze
144,Luanda,AO,-8.84,13.23,68.0,88,20,5.82,few clouds
145,Paita,PE,-5.09,-81.11,64.58,78,0,18.41,clear sky
146,Maniwaki,CA,46.38,-75.97,53.92,97,100,8.77,moderate rain
147,Port Keats,AU,-14.25,129.55,71.85,48,37,8.5,scattered clouds
148,Port Elizabeth,ZA,-33.92,25.57,46.4,93,40,14.99,light rain
149,Victoria,HK,22.29,114.16,84.0,70,0,3.0,clear sky
150,Oranjemund,NA,-28.55,16.43,51.13,74,0,5.84,clear sky
151,Flinders,AU,-34.58,150.86,66.0,76,0,4.0,clear sky
152,Atuona,PF,-9.8,-139.03,79.0,78,18,18.45,light rain
153,Vallenar,CL,-28.57,-70.76,60.55,32,26,2.3,scattered clouds
154,Pemangkat,ID,1.17,108.97,76.15,89,66,6.08,broken clouds
155,Batagay-Alyta,RU,67.8,130.41,50.59,53,100,2.04,overcast clouds
156,Khandyga,RU,62.67,135.6,54.39,44,100,5.26,overcast clouds
157,Adrar,MR,20.5,-10.07,96.94,9,58,18.07,broken clouds
158,Sindon,PH,17.06,122.02,76.75,88,100,0.89,overcast clouds
159,Chicama,PE,-7.84,-79.15,64.13,74,2,9.26,clear sky
160,Mount Isa,AU,-20.73,139.5,71.6,43,40,11.41,scattered clouds
161,Sur,OM,22.57,59.53,83.37,66,26,8.88,scattered clouds
162,Seddon,AU,-37.81,144.89,61.0,66,98,24.16,overcast clouds
163,Thompson,CA,55.74,-97.86,60.8,63,75,2.24,broken clouds
164,Sayyan,YE,15.17,44.32,62.28,61,16,0.2,few clouds
165,Kosh-Agach,RU,50.0,88.67,35.02,87,13,0.58,few clouds
166,Lorengau,PG,-2.02,147.27,83.77,73,86,12.48,overcast clouds
167,Kaili,ID,-3.46,120.21,70.74,79,86,1.01,overcast clouds
168,Starychi,UA,49.98,23.56,64.4,88,0,4.47,clear sky
169,Sambava,MG,-14.27,50.17,69.03,86,18,11.7,few clouds
170,Luderitz,NA,-26.65,15.16,52.14,65,0,17.81,clear sky
171,Fortuna,US,40.6,-124.16,66.99,72,1,13.87,clear sky
172,Severo-Kurilsk,RU,50.68,156.12,49.93,89,94,10.45,overcast clouds
173,Sterling,US,39.01,-77.43,84.2,70,75,5.82,broken clouds
174,Los Llanos De Aridane,ES,28.66,-17.92,73.4,78,75,17.22,light rain
175,Khatanga,RU,71.97,102.5,49.84,72,88,10.04,overcast clouds
176,Iqaluit,CA,63.75,-68.51,57.2,54,75,12.75,broken clouds
177,Tuktoyaktuk,CA,69.45,-133.04,46.4,75,40,12.75,scattered clouds
178,Uniao,BR,-4.59,-42.86,93.2,32,39,2.24,scattered clouds
179,Upernavik,GL,72.79,-56.15,40.64,72,0,5.28,clear sky
180,Lakota,CI,5.85,-5.69,69.12,97,53,3.09,broken clouds
181,Tchollire,CM,8.4,14.17,70.07,96,100,2.33,overcast clouds
182,Ngunguru,NZ,-35.62,174.5,60.6,62,0,3.6,clear sky
183,Itaueira,BR,-7.6,-43.03,82.08,38,11,5.08,few clouds
184,Guiratinga,BR,-16.35,-53.76,80.73,18,0,6.17,clear sky
185,Berlevag,NO,70.86,29.09,50.38,73,95,9.86,overcast clouds
186,Bengkulu,ID,-3.8,102.27,75.33,84,83,5.01,broken clouds
187,Carutapera,BR,-1.2,-46.02,78.15,81,30,8.7,scattered clouds
188,Camacha,PT,33.08,-16.33,69.8,60,40,13.87,scattered clouds
189,Nanortalik,GL,60.14,-45.24,50.09,73,100,10.47,overcast clouds
190,Visby,SE,57.64,18.3,61.0,87,42,19.46,scattered clouds
191,Faanui,PF,-16.48,-151.75,77.94,77,55,23.98,light rain
192,Gat,IL,31.61,34.76,82.0,90,0,2.19,clear sky
193,Sitka,US,57.05,-135.33,55.4,87,90,4.59,light rain
194,Sorland,NO,67.67,12.69,49.93,66,100,13.13,overcast clouds
195,Yumen,CN,40.28,97.2,51.26,60,0,3.94,clear sky
196,Boa Vista,BR,2.82,-60.67,82.4,69,75,9.17,shower rain
197,Palmer,US,42.16,-72.33,77.0,88,81,4.0,broken clouds
198,Ilulissat,GL,69.22,-51.1,46.4,61,40,6.93,scattered clouds
199,Antsohihy,MG,-14.88,47.99,65.88,76,4,6.51,clear sky
200,Eureka,US,40.8,-124.16,69.01,44,6,3.0,clear sky
201,Port Blair,IN,11.67,92.75,81.5,78,16,5.23,few clouds
202,Hervey Bay,AU,-25.3,152.85,71.01,68,12,9.17,few clouds
203,Nakhon Phanom,TH,17.41,104.78,75.72,92,99,3.44,overcast clouds
204,Jaciara,BR,-15.97,-54.97,80.83,17,0,2.37,clear sky
205,Ambilobe,MG,-13.2,49.05,63.45,86,0,3.49,clear sky
206,Pasni,PK,25.26,63.47,80.94,86,63,15.08,broken clouds
207,Bardiyah,LY,31.76,25.09,74.93,78,0,3.94,clear sky
208,Salalah,OM,17.02,54.09,77.0,94,90,2.24,overcast clouds
209,San Quintin,MX,30.48,-115.95,74.82,64,1,15.1,clear sky
210,Saskylakh,RU,71.92,114.08,53.37,57,100,3.96,overcast clouds
211,Mogosesti,RO,47.03,27.53,73.4,49,0,9.17,clear sky
212,Deputatskiy,RU,69.3,139.9,36.97,91,99,3.87,overcast clouds
213,Labuhan,ID,-6.88,112.21,74.39,80,92,7.72,overcast clouds
214,Leningradskiy,RU,69.38,178.42,37.15,87,100,10.51,overcast clouds
215,Huangmei,CN,30.19,116.03,76.82,81,0,2.86,clear sky
216,Hobart,AU,-42.88,147.33,62.01,58,75,8.05,broken clouds
217,Saint-Raphael,HT,19.43,-72.2,76.86,89,30,5.84,scattered clouds
218,Lovington,US,32.94,-103.35,99.0,16,5,10.29,clear sky
219,Srednekolymsk,RU,67.45,153.68,46.65,68,27,3.51,scattered clouds
220,Kysyl-Syr,RU,63.9,122.76,54.97,93,100,5.95,overcast clouds
221,Tuatapere,NZ,-46.13,167.68,55.58,68,95,12.64,overcast clouds
222,Buraydah,SA,26.33,43.98,84.2,26,0,3.36,clear sky
223,Bambous Virieux,MU,-20.34,57.76,70.0,77,75,14.99,broken clouds
224,Harper,LR,4.38,-7.72,75.72,85,88,12.12,light rain
225,Sampit,ID,-2.53,112.95,73.56,93,18,2.17,few clouds
226,Airai,TL,-8.93,125.41,61.12,39,25,2.98,scattered clouds
227,Hami,CN,42.8,93.45,65.39,31,30,5.35,scattered clouds
228,Tasiilaq,GL,65.61,-37.64,44.6,70,100,12.75,light rain
229,Avera,US,33.19,-82.53,86.0,83,1,4.7,clear sky
230,Dhidhdhoo,MV,6.88,73.1,83.03,69,87,7.47,overcast clouds
231,Lahij,YE,13.17,44.58,87.67,43,69,3.4,broken clouds
232,Tura,IN,25.52,90.22,73.71,95,80,4.09,broken clouds
233,Nicoya,CR,10.15,-85.45,86.0,74,40,11.41,scattered clouds
234,Tiksi,RU,71.69,128.87,44.1,82,0,7.81,clear sky
235,Cabedelo,BR,-6.98,-34.83,77.0,83,40,9.17,scattered clouds
236,Hualmay,PE,-11.1,-77.61,62.4,81,23,11.81,few clouds
237,Constitucion,CL,-35.33,-72.42,49.35,63,2,11.3,clear sky
238,Souillac,MU,-20.52,57.52,69.8,77,75,14.99,broken clouds
239,Puerto Ayora,EC,-0.74,-90.35,65.91,85,97,11.54,overcast clouds
240,Rio Verde De Mato Grosso,BR,-18.92,-54.84,83.03,15,0,2.42,clear sky
241,Paso De Ovejas,MX,19.28,-96.43,89.6,70,40,4.7,scattered clouds
242,Laibin,CN,23.7,109.27,79.61,83,79,0.6,broken clouds
243,Seoul,KR,37.57,126.98,77.0,100,90,2.55,mist
244,Clyde River,CA,70.47,-68.59,48.2,81,1,10.29,clear sky
245,Walvis Bay,NA,-22.96,14.51,52.0,78,0,14.92,clear sky
246,Fort-Shevchenko,KZ,44.51,50.26,74.23,77,0,13.22,clear sky
247,Santa Rosa,PH,14.31,121.11,84.99,79,100,13.87,light rain
248,Qaanaaq,GL,77.48,-69.36,33.85,83,0,3.65,clear sky
249,Port Macquarie,AU,-31.43,152.92,63.0,81,5,8.97,clear sky
250,Namwala,ZM,-15.75,26.44,68.88,28,0,3.29,clear sky
251,Mogadishu,SO,2.04,45.34,77.5,84,3,14.25,light rain
252,Yeola,IN,20.03,74.48,72.43,91,100,9.15,light rain
