,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Mataura,NZ,55.11,overcast clouds,-46.19,168.86,Ellie's Villa
1,Hermanus,ZA,39.99,light rain,-34.42,19.23,Misty Waves Boutique Hotel
2,Coruripe,BR,74.95,broken clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
3,Chokurdakh,RU,41.32,overcast clouds,70.63,147.92,
4,Khislavichi,RU,62.15,overcast clouds,54.19,32.16,Stolik Na Gorke
5,Katsuura,JP,86.0,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
6,Punta Arenas,CL,39.2,scattered clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
7,Husavik,IS,46.4,broken clouds,66.04,-17.34,Bjarnabúð
8,Necochea,AR,43.0,clear sky,-38.55,-58.74,dyd -mar Hotel
9,Andros Town,BS,86.0,few clouds,24.7,-77.77,Hanks place
10,Butaritari,KI,83.48,scattered clouds,3.07,172.79,Isles Sunset Lodge
11,Havelock,US,84.0,moderate rain,34.88,-76.9,Sherwood Motel
12,Ushuaia,AR,33.8,light snow,-54.8,-68.3,Albatros Hotel
13,Krasnoselkup,RU,54.18,overcast clouds,65.7,82.47,Krasnosel'kupnefteprodukt
14,Tapes,BR,69.6,moderate rain,-30.67,-51.4,Cabanas Camping Union
15,Chadan,RU,48.43,broken clouds,51.28,91.58,
16,Te Karaka,NZ,62.92,clear sky,-38.47,177.87,
17,Rikitea,PF,70.27,scattered clouds,-23.12,-134.97,Pension Maro'i
18,Hilo,US,87.8,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
19,Inhambane,MZ,74.19,clear sky,-23.86,35.38,Oceano
20,Nhulunbuy,AU,78.8,scattered clouds,-12.23,136.77,East Arnhem Real Estate
21,Sosua,DO,86.0,few clouds,19.77,-70.52,Piergiorgio Palace Hotel
22,Moanda,GA,71.08,overcast clouds,-1.56,13.22,Motel Hippo +
23,Ancud,CL,45.0,scattered clouds,-41.87,-73.82,Hotel Arena Gruesa
25,Dikson,RU,42.12,overcast clouds,73.51,80.55,
26,Carnarvon,AU,53.6,clear sky,-24.87,113.63,Hospitality Carnarvon
27,Yellowknife,CA,48.2,light rain,62.46,-114.35,The Explorer Hotel
28,Saint-Philippe,RE,68.0,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
29,Macusani,PE,41.72,few clouds,-14.08,-70.43,"Hospedaje ""Arca de Noe"""
30,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
31,Avarua,CK,77.0,few clouds,-21.21,-159.78,Paradise Inn
32,Busselton,AU,43.0,overcast clouds,-33.65,115.33,Observatory Guest House
33,Kargil,IN,52.43,clear sky,34.57,76.1,Caravan Sarai
34,Port Alfred,ZA,51.01,light rain,-33.59,26.89,The Halyards Hotel
35,Sechura,PE,67.35,clear sky,-5.56,-80.82,Hospedaje Costa Bella
36,Komsomolskiy,UZ,69.8,scattered clouds,40.43,71.72,Ikathouse
38,Saint-Pierre,RE,68.0,few clouds,-21.34,55.48,Lindsey Hôtel
39,Cidreira,BR,66.69,scattered clouds,-30.18,-50.21,Hotel Castelo
40,Karratha,AU,75.11,clear sky,-20.74,116.85,ibis Styles Karratha
41,Peleduy,RU,55.09,overcast clouds,59.63,112.74,Гостиница «Уют»
42,Buala,SB,84.54,broken clouds,-8.14,159.59,Maringe Lagoon Lodge
43,Ambon,ID,75.2,light rain,-3.7,128.18,Swiss-Belhotel Ambon
44,Alice Springs,AU,75.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
45,Nuevo Progreso,MX,90.0,overcast clouds,23.17,-97.95,Balneario Rio el Paraiso
46,Paamiut,GL,45.5,broken clouds,61.99,-49.67,Yeet Hotel
47,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
48,Kudahuvadhoo,MV,83.07,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
49,Isangel,VU,73.4,broken clouds,-19.55,169.27,Volcano Sea View Tree House
50,Dubbo,AU,53.6,clear sky,-32.25,148.62,Comfort Inn Blue Lagoon
51,Cape Town,ZA,46.0,moderate rain,-33.93,18.42,Southern Sun Waterfront Cape Town
52,Trincomalee,LK,80.78,overcast clouds,8.57,81.23,Welcombe Hotel
53,Kalmunai,LK,79.59,overcast clouds,7.42,81.82,VS Villa
54,Port-Cartier,CA,54.0,overcast clouds,50.03,-66.87,Le Q'Artier
55,Churapcha,RU,58.14,overcast clouds,62.0,132.43,
56,Vikravandi,IN,80.78,overcast clouds,12.03,79.55,Capital O 67238 Park Regencys
57,San Blas,MX,77.0,broken clouds,21.52,-105.27,Hotel Posada del Rey
58,Zhezkazgan,KZ,65.1,clear sky,47.8,67.71,Kvartiry Posutochno.
59,Ribeira Grande,PT,75.09,overcast clouds,38.52,-28.7,Quinta da Meia Eira
60,Srandakan,ID,72.19,overcast clouds,-7.94,110.25,Puri Brata
61,Kapaa,US,86.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
62,Kavaratti,IN,81.46,moderate rain,10.57,72.64,Bismillah Hotel And Lodging
63,Desnogorsk,RU,59.72,broken clouds,54.15,33.28,Отель Гранд
64,Nelson Bay,AU,54.0,clear sky,-32.72,152.15,Mantra Nelson Bay
65,Cabo San Lucas,MX,82.99,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
66,Tilbury,GB,55.0,overcast clouds,51.46,0.36,Premier Inn Gravesend Central hotel
67,Gojo,JP,90.0,broken clouds,34.35,135.7,Fujiikan
68,New Norfolk,AU,62.01,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
70,Gizo,SB,83.41,few clouds,-8.1,156.84,Imagination Island
71,Greencastle,US,77.0,clear sky,39.64,-86.86,College Inn
72,Mar Del Plata,AR,44.6,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
73,Albany,US,79.0,light rain,42.6,-73.97,
74,Ixtapa,MX,86.0,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
75,Georgetown,MY,77.0,scattered clouds,5.41,100.34,Cititel Penang
76,Jiuquan,CN,55.44,clear sky,39.74,98.52,Jiuquan Hotel
77,Maracacume,BR,77.14,broken clouds,-2.04,-45.96,Motel imperial
78,Lebu,CL,46.11,clear sky,-37.62,-73.65,Hostal Las Lilas
79,Quang Ngai,VN,76.87,clear sky,15.12,108.8,Central Hotel
80,Lompoc,US,70.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
81,Hithadhoo,MV,82.63,overcast clouds,-0.6,73.08,Scoop Guest House
82,Meulaboh,ID,76.03,light rain,4.14,96.13,Kost Pria
83,East London,ZA,54.27,broken clouds,-33.02,27.91,Tu Casa
84,Chake Chake,TZ,72.28,few clouds,-5.25,39.77,Hotel Archipelago
85,Nampula,MZ,68.0,scattered clouds,-15.12,39.27,Tacab Residencial
86,Arraial Do Cabo,BR,73.4,clear sky,-22.97,-42.03,Pousada Porto Praia
